url_pk,channel_id,title,description,thumbnails,published,play_time,view_count,like_count
0tpbA5Z8KUU,UCC9pQY_uaBSa0WOpMNJHbEQ,절대 실패없는 김치찌개 만들기,김치찌개를 끓여보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/0tpbA5Z8KUU/hqdefault.jpg', 'width': 480, 'height': 360}",2022-05-02T12:07:31Z,55,1444312,39157
yLCLvr-JRd4,UCC9pQY_uaBSa0WOpMNJHbEQ,김치볶음밥 10배 더 맛있게 만드는 방법,김치볶음밥 #Shorts,"{'url': 'https://i.ytimg.com/vi/yLCLvr-JRd4/hqdefault.jpg', 'width': 480, 'height': 360}",2022-08-21T08:41:03Z,59,2250837,46609
LqM9hfN5DV0,UCC9pQY_uaBSa0WOpMNJHbEQ,참치김치찌개 황금레시피 #Shorts,참치김치찌개를 만들어보자 #shorts,"{'url': 'https://i.ytimg.com/vi/LqM9hfN5DV0/hqdefault.jpg', 'width': 480, 'height': 360}",2022-02-09T01:19:49Z,57,698827,10868
7DVVgbC_uTY,UCC9pQY_uaBSa0WOpMNJHbEQ,기사식당 스타일 제육볶음 쉽고 완벽하게 만드는 방법,,"{'url': 'https://i.ytimg.com/vi/7DVVgbC_uTY/hqdefault.jpg', 'width': 480, 'height': 360}",2023-02-20T03:51:57Z,59,318508,5916
9gQpmY_ftMY,UCC9pQY_uaBSa0WOpMNJHbEQ,이렇게 파는 곳이 있으면 대박 났음,치킨라면을 만들어 보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/9gQpmY_ftMY/hqdefault.jpg', 'width': 480, 'height': 360}",2023-01-22T03:00:03Z,1:,264722,5226
lpfbFyOtPNc,UCC9pQY_uaBSa0WOpMNJHbEQ,이건 절대 실패할 수 없는 레시피입니다.,순두부찌개를 만들어보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/lpfbFyOtPNc/hqdefault.jpg', 'width': 480, 'height': 360}",2022-07-23T10:17:13Z,57,430656,8085
X4yZE3uWlHY,UCC9pQY_uaBSa0WOpMNJHbEQ,바쁜 아침 흰밥에 이것만 올려서 드세요,,"{'url': 'https://i.ytimg.com/vi/X4yZE3uWlHY/hqdefault.jpg', 'width': 480, 'height': 360}",2023-06-05T09:30:00Z,1:,2276150,34421
JDXTMFvjWxQ,UCC9pQY_uaBSa0WOpMNJHbEQ,외국에서 미친듯이 난리난 라면 먹는 방법 #Shorts,볶음 라면을 만들어보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/JDXTMFvjWxQ/hqdefault.jpg', 'width': 480, 'height': 360}",2022-02-01T00:45:00Z,45,7413063,166145
8Uy6PvrAg0Q,UCC9pQY_uaBSa0WOpMNJHbEQ,"대기업의 피, 땀, 눈물의 육수로 만든 신박한 떡만둣국",장떡만둣국을 만들어보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/8Uy6PvrAg0Q/hqdefault.jpg', 'width': 480, 'height': 360}",2022-04-27T03:08:00Z,54,5347393,72961
tcrpohwqEm0,UCC9pQY_uaBSa0WOpMNJHbEQ,이제 닭도리탕은 이렇게 만드세요,닭도리탕 만들기 #Shorts,"{'url': 'https://i.ytimg.com/vi/tcrpohwqEm0/hqdefault.jpg', 'width': 480, 'height': 360}",2022-05-20T02:59:00Z,51,360732,7466
